车系ID,品牌ID,车系名,指导价,车系展示图
4077,120,宝骏310,3.68-5.38万,cxLogo\4077.jpg
3774,120,宝骏330,5.58-5.98万,cxLogo\3774.jpg
4392,120,宝骏310W,4.28-5.68万,cxLogo\4392.jpg
3343,120,宝骏610,5.98-8.08万,cxLogo\3343.jpg
2236,120,宝骏630,5.98-7.48万,cxLogo\2236.jpg
4166,120,宝骏510,5.48-6.98万,cxLogo\4166.jpg
3677,120,宝骏560,6.98-11.78万,cxLogo\3677.jpg
3412,120,宝骏730,6.08-10.28万,cxLogo\3412.jpg
3068,13,标致301,8.47-10.77万,cxLogo\3068.jpg
877,13,标致308,9.97-15.97万,cxLogo\877.jpg
3632,13,标致308S,11.27-17.97万,cxLogo\3632.jpg
987,13,标致408,12.97-18.97万,cxLogo\987.jpg
2299,13,标致508,17.37-26.97万,cxLogo\2299.jpg
3234,13,标致2008,9.97-15.17万,cxLogo\3234.jpg
2619,13,标致3008,14.07-20.77万,cxLogo\2619.jpg
4167,13,标致4008,18.57-27.37万,cxLogo\4167.jpg
4271,13,标致5008,18.77-27.97万,cxLogo\4271.jpg
437,13,标致206,暂无,cxLogo\437.jpg
688,13,标致207,暂无,cxLogo\688.jpg
99,13,标致307,暂无,cxLogo\99.jpg
726,13,标致107,暂无,cxLogo\726.jpg
3381,13,标致108,暂无,cxLogo\3381.jpg
3903,13,Fractal,暂无,cxLogo\3903.jpg
2544,13,标致208,暂无,cxLogo\2544.jpg
3434,13,EXALT,暂无,cxLogo\3434.jpg
4331,13,Instinct,暂无,cxLogo\4331.jpg
2829,13,标致301(海外),暂无,cxLogo\2829.jpg
689,13,标致308(进口),暂无,cxLogo\689.jpg
2191,13,标致508(进口),暂无,cxLogo\2191.jpg
2404,13,标致HX1,暂无,cxLogo\2404.jpg
2801,13,Urban Crossover,暂无,cxLogo\2801.jpg
2891,13,标致2008(海外),暂无,cxLogo\2891.jpg
3614,13,Quartz,暂无,cxLogo\3614.jpg
724,13,标致3008(进口),暂无,cxLogo\724.jpg
4193,13,标致5008(海外),暂无,cxLogo\4193.jpg
2315,13,标致SXC,暂无,cxLogo\2315.jpg
861,13,标致5008经典,暂无,cxLogo\861.jpg
2892,13,ONYX,暂无,cxLogo\2892.jpg
2047,13,标致RCZ,暂无,cxLogo\2047.jpg
3974,13,TRAVELLER,暂无,cxLogo\3974.jpg
924,13,标致BB1,暂无,cxLogo\924.jpg
2204,13,标致iOn,暂无,cxLogo\2204.jpg
184,13,标致206(进口),暂无,cxLogo\184.jpg
640,13,标致207(进口),暂无,cxLogo\640.jpg
277,13,标致307(进口),暂无,cxLogo\277.jpg
2064,13,5 by Peugeot,暂无,cxLogo\2064.jpg
185,13,标致407,暂无,cxLogo\185.jpg
186,13,标致607,暂无,cxLogo\186.jpg
2216,13,标致HR1,暂无,cxLogo\2216.jpg
2472,13,标致4008(进口),暂无,cxLogo\2472.jpg
2210,13,标致EX1,暂无,cxLogo\2210.jpg
2038,13,标致SR1,暂无,cxLogo\2038.jpg
703,40,Panamera,108.80-233.80万,cxLogo\703.jpg
4322,40,Panamera新能源,140.80-273.80万,cxLogo\4322.jpg
2838,40,Macan,58.80-112.41万,cxLogo\2838.jpg
172,40,Cayenne,88.80-283.90万,cxLogo\172.jpg
4324,40,Cayenne新能源,108.80-108.80万,cxLogo\4324.jpg
4175,40,保时捷718,58.80-85.80万,cxLogo\4175.jpg
162,40,保时捷911,131.80-335.80万,cxLogo\162.jpg
415,40,Cayman,72.70-111.80万,cxLogo\415.jpg
3917,40,Mission E,暂无,cxLogo\3917.jpg
3401,40,919 Hybrid,暂无,cxLogo\3401.jpg
2073,40,918 Spyder,暂无,cxLogo\2073.jpg
168,40,Boxster,暂无,cxLogo\168.jpg
393,40,Carrera GT,暂无,cxLogo\393.jpg
3423,40,保时捷356,暂无,cxLogo\3423.jpg
3572,40,保时捷968,暂无,cxLogo\3572.jpg
3695,95,奔腾B30,6.58-9.28万,cxLogo\3695.jpg
632,95,奔腾B50,8.18-11.78万,cxLogo\632.jpg
466,95,奔腾B70,9.98-14.98万,cxLogo\466.jpg
2310,95,奔腾B90,14.58-19.98万,cxLogo\2310.jpg
4069,95,奔腾X40,6.68-10.18万,cxLogo\4069.jpg
3000,95,奔腾X80,9.98-14.78万,cxLogo\3000.jpg
965,154,战旗,7.36-8.08万,cxLogo\965.jpg
3035,154,BJ 212,6.84-7.03万,cxLogo\3035.jpg
2126,154,北京BW007,8.28-10.78万,cxLogo\2126.jpg
622,154,勇士,13.09-14.96万,cxLogo\622.jpg
2960,154,越铃,5.17-7.58万,cxLogo\2960.jpg
852,154,骑士S12,暂无,cxLogo\852.jpg
4009,143,北汽威旺S50,7.98-12.08万,cxLogo\4009.jpg
4154,143,北汽威旺M50F,5.58-8.68万,cxLogo\4154.jpg
2482,143,北汽威旺306,3.18-4.64万,cxLogo\2482.jpg
3191,143,北汽威旺M20,3.68-4.83万,cxLogo\3191.jpg
3916,143,北汽威旺M30,4.43-4.83万,cxLogo\3916.jpg
4061,143,北汽威旺M35,5.33-6.08万,cxLogo\4061.jpg
3428,143,北汽威旺T205-D,2.98-3.40万,cxLogo\3428.jpg
3231,143,北汽威旺307,4.38-5.13万,cxLogo\3231.jpg
2943,143,北汽威旺205,暂无,cxLogo\2943.jpg
3712,143,北汽007,8.28-10.78万,cxLogo\3712.jpg
3800,27,北京(BJ)20,9.68-13.98万,cxLogo\3800.jpg
623,27,北京BJ40,12.98-17.98万,cxLogo\623.jpg
2852,27,北京BJ80,28.30-31.80万,cxLogo\2852.jpg
3972,27,北京BJ90,暂无,cxLogo\3972.jpg
2252,27,北京汽车E系列,暂无,cxLogo\2252.jpg
2132,27,北京汽车B90,暂无,cxLogo\2132.jpg
3284,203,北汽幻速S2,5.18-6.08万,cxLogo\3284.jpg
3361,203,北汽幻速S3,5.38-6.98万,cxLogo\3361.jpg
4276,203,北汽幻速S5,5.98-8.58万,cxLogo\4276.jpg
3426,203,北汽幻速S6,8.88-11.68万,cxLogo\3426.jpg
3874,203,北汽幻速H3,5.58-6.78万,cxLogo\3874.jpg
3661,203,北汽幻速H2,3.98-6.68万,cxLogo\3661.jpg
4137,203,北汽幻速H2V,3.58-3.98万,cxLogo\4137.jpg
3714,203,北汽幻速H6,5.98-7.58万,cxLogo\3714.jpg
4310,203,北汽幻速H5,暂无,cxLogo\4310.jpg
4264,208,EC系列,15.18-16.48万,cxLogo\4264.jpg
3533,208,EV系列,17.78-18.99万,cxLogo\3533.jpg
3884,208,EU系列,20.59-22.49万,cxLogo\3884.jpg
4104,208,EH系列,34.58-35.58万,cxLogo\4104.jpg
4015,208,EX系列,19.29-20.29万,cxLogo\4015.jpg
3630,208,北汽新能源C90EV,暂无,cxLogo\3630.jpg
3537,208,北汽新能源ES210,暂无,cxLogo\3537.jpg
3557,173,绅宝D20,4.88-8.28万,cxLogo\3557.jpg
3794,173,绅宝CC,9.98-14.98万,cxLogo\3794.jpg
2791,173,绅宝D50,7.48-11.38万,cxLogo\2791.jpg
2787,173,绅宝D70,13.98-21.58万,cxLogo\2787.jpg
3673,173,绅宝D80,20.48-26.88万,cxLogo\3673.jpg
3839,173,绅宝X25,5.58-7.58万,cxLogo\3839.jpg
3928,173,绅宝X35,6.58-8.88万,cxLogo\3928.jpg
3795,173,绅宝X55,7.68-11.98万,cxLogo\3795.jpg
3417,173,绅宝X65,9.88-14.98万,cxLogo\3417.jpg
3427,173,绅宝D60,暂无,cxLogo\3427.jpg
901,39,慕尚,498.00-555.80万,cxLogo\901.jpg
3014,39,飞驰,319.80-435.80万,cxLogo\3014.jpg
2685,39,添越,398.00-480.00万,cxLogo\2685.jpg
305,39,欧陆,304.80-526.80万,cxLogo\305.jpg
3739,39,EXP 10 Speed 6,暂无,cxLogo\3739.jpg
4363,39,EXP 12 Speed 6e,暂无,cxLogo\4363.jpg
3668,39,Grand Convertible,暂无,cxLogo\3668.jpg
1013,39,Brooklands,暂无,cxLogo\1013.jpg
1012,39,雅骏,暂无,cxLogo\1012.jpg
306,39,雅致,暂无,cxLogo\306.jpg
4046,231,宝沃BX5,12.38-21.68万,cxLogo\4046.jpg
3913,231,宝沃BX7,16.98-24.28万,cxLogo\3913.jpg
